Volatility 3 Framework 2.28.1

NetNS	Process Name	PID	TID	FD	Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter

4026531840	systemd	1	1	21	0x8e1b06685000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
4026531840	systemd	1	1	22	0x8e1b067c0c00	AF_UNIX	DGRAM	-	/run/systemd/notify	11545	-	-	UNCONNECTED	-
4026531840	systemd	1	1	23	0x8e1b067c2400	AF_UNIX	DGRAM	-	-	11546	-	11547	CONNECTED	-
4026531840	systemd	1	1	24	0x8e1b067c3800	AF_UNIX	DGRAM	-	-	11547	-	11546	CONNECTED	-
4026531840	systemd	1	1	25	0x8e1b067c1800	AF_UNIX	DGRAM	-	-	11548	-	11549	CONNECTED	-
4026531840	systemd	1	1	26	0x8e1b067c1000	AF_UNIX	DGRAM	-	-	11549	-	11548	CONNECTED	-
4026531840	systemd	1	1	27	0x8e1b067c3c00	AF_UNIX	DGRAM	-	-	11550	-	11551	CONNECTED	-
4026531840	systemd	1	1	28	0x8e1b067c3400	AF_UNIX	DGRAM	-	-	11551	-	11550	CONNECTED	-
4026531840	systemd	1	1	29	0x8e1b067c2c00	AF_UNIX	STREAM	-	/run/systemd/private	11552	-	-	LISTEN	-
4026531840	systemd	1	1	30	0x8e1b067c2800	AF_UNIX	STREAM	-	/run/systemd/userdb/io.systemd.DynamicUser	11553	-	-	LISTEN	-
4026531840	systemd	1	1	31	0x8e1b067c1400	AF_UNIX	STREAM	-	/run/systemd/io.systemd.ManagedOOM	11554	-	-	LISTEN	-
4026531840	systemd	1	1	32	0x8e1b067c3000	AF_UNIX	STREAM	-	/run/systemd/io.systemd.Manager	11555	-	-	LISTEN	-
4026531840	systemd	1	1	37	0x8e1b06682800	AF_NETLINK	RAW	NETLINK_NETFILTER	-	1	group:0x00000000,lkm:nfnetlink	0	UNCONNECTED	-
